"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainRHCP) []"
2.2,0,0,6.75899446887662
2.2,0,2,6.60056099048015
2.2,0,4,6.41780260015096
2.2,0,6,6.25059849050744
2.2,0,8,6.13366116158041
2.2,0,10,6.08405867196649
2.2,0,12,6.09509814900266
2.2,0,14,6.14056214662839
2.2,0,16,6.1860567943261
2.2,0,18,6.20051931158879
2.2,0,20,6.16348898036115
2.2,0,22,6.06783055084374
2.2,0,24,5.91930955567614
2.2,0,26,5.73400331832767
2.2,0,28,5.53373718146022
2.2,0,30,5.33977944955256
2.2,0,32,5.16613635270214
2.2,0,34,5.01497067588499
2.2,0,36,4.87629285436145
2.2,0,38,4.73182890322937
2.2,0,40,4.56075334380217
2.2,0,42,4.34467035113558
2.2,0,44,4.0705320713431
2.2,0,46,3.73157242154488
2.2,0,48,3.32695253840346
2.2,0,50,2.86078323296074
2.2,0,52,2.34092641551098
2.2,0,54,1.77774546463395
2.2,0,56,1.18285330658386
2.2,0,58,0.567885534350089
2.2,0,60,-0.0566353520425627
2.2,0,62,-0.682227541447905
2.2,0,64,-1.3030354211809
2.2,0,66,-1.91598313279731
2.2,0,68,-2.52050132079334
2.2,0,70,-3.11793461121497
2.2,0,72,-3.71079859339368
2.2,0,74,-4.30205357615247
2.2,0,76,-4.89451212101468
2.2,0,78,-5.49043083377753
2.2,0,80,-6.09128225331292
2.2,0,82,-6.69767233549888
2.2,0,84,-7.30936176672693
2.2,0,86,-7.92535781241736
2.2,0,88,-8.54406013853747
2.2,0,90,-9.16346368767477
2.2,0,92,-9.78144043955736
2.2,0,94,-10.3961356776743
2.2,0,96,-11.0065172648299
2.2,0,98,-11.6131003512531
2.2,0,100,-12.2188270189885
2.2,0,102,-12.8300069385758
2.2,0,104,-13.4571223259161
2.2,0,106,-14.1151599643216
2.2,0,108,-14.8228923082031
2.2,0,110,-15.5999840415526
2.2,0,112,-16.4594835314186
2.2,0,114,-17.3905480676745
2.2,0,116,-18.3235270287892
2.2,0,118,-19.0811523968492
2.2,0,120,-19.3855633849385
2.2,0,122,-19.0498921425795
2.2,0,124,-18.2017717404556
2.2,0,126,-17.1683554426756
2.2,0,128,-16.2268012851735
2.2,0,130,-15.5359888766269
2.2,0,132,-15.1755905985466
2.2,0,134,-15.1804417933042
2.2,0,136,-15.5382167494679
2.2,0,138,-16.1313000133148
2.2,0,140,-16.6152108484137
2.2,0,142,-16.4398549669286
2.2,0,144,-15.4063396362106
2.2,0,146,-13.9744177786476
2.2,0,148,-12.6672338017954
2.2,0,150,-11.7474225616199
2.2,0,152,-11.3096314559923
2.2,0,154,-11.3798553733271
2.2,0,156,-11.937972785309
2.2,0,158,-12.8641860619223
2.2,0,160,-13.8012043848694
2.2,0,162,-14.1412826168878
2.2,0,164,-13.6388604956925
2.2,0,166,-12.8066880246323
2.2,0,168,-12.2379719628723
2.2,0,170,-12.24805306664
2.2,0,172,-13.0095504639998
2.2,0,174,-14.7123883877098
2.2,0,176,-17.7256379056836
2.2,0,178,-23.0284462471274
2.2,0,180,-33.7120896570135
2.2,0,182,-28.6036662546627
2.2,0,184,-24.40235169347
2.2,0,186,-24.2229784501442
2.2,0,188,-27.8332686849598
2.2,0,190,-36.6971587672308
2.2,0,192,-24.8367900986537
2.2,0,194,-19.0715389512831
2.2,0,196,-16.0054628428084
2.2,0,198,-14.4471798975269
2.2,0,200,-14.0510825214427
2.2,0,202,-14.7990060684628
2.2,0,204,-17.0097142185529
2.2,0,206,-21.9760892957447
2.2,0,208,-46.5361653249395
2.2,0,210,-22.2102464965376
2.2,0,212,-16.0861017558359
2.2,0,214,-12.8937716621513
2.2,0,216,-11.0346389612422
2.2,0,218,-10.0224607471466
2.2,0,220,-9.64948917272596
2.2,0,222,-9.81588591011291
2.2,0,224,-10.4755000145549
2.2,0,226,-11.6108547233027
2.2,0,228,-13.2045994402334
2.2,0,230,-15.1578574780951
2.2,0,232,-17.0497020874485
2.2,0,234,-17.9107580268198
2.2,0,236,-17.2427459288832
2.2,0,238,-15.8834836860748
2.2,0,240,-14.6015637237126
2.2,0,242,-13.630088463495
2.2,0,244,-12.9821910173722
2.2,0,246,-12.6197824424269
2.2,0,248,-12.5008483479108
2.2,0,250,-12.589441465574
2.2,0,252,-12.8559756842718
2.2,0,254,-13.2747532898694
2.2,0,256,-13.8197428561468
2.2,0,258,-14.4575798002909
2.2,0,260,-15.1358613866013
2.2,0,262,-15.7661450193203
2.2,0,264,-16.2100720632175
2.2,0,266,-16.2976956349575
2.2,0,268,-15.9072983992921
2.2,0,270,-15.0534464051518
2.2,0,272,-13.8713871700964
2.2,0,274,-12.5195725353111
2.2,0,276,-11.1141923177404
2.2,0,278,-9.72202170078137
2.2,0,280,-8.37629913087942
2.2,0,282,-7.09199286407868
2.2,0,284,-5.87531981987048
2.2,0,286,-4.72880812643382
2.2,0,288,-3.65378106814057
2.2,0,290,-2.65150025839649
2.2,0,292,-1.72364367021476
2.2,0,294,-0.872459722764339
2.2,0,296,-0.100759573541014
2.2,0,298,0.588185198163306
2.2,0,300,1.19082662983942
2.2,0,302,1.70363101519078
2.2,0,304,2.12353611513742
2.2,0,306,2.44867542767587
2.2,0,308,2.67951729747009
2.2,0,310,2.82060509053631
2.2,0,312,2.8830534643983
2.2,0,314,2.88769580175032
2.2,0,316,2.86799429005439
2.2,0,318,2.87029129088116
2.2,0,320,2.94746598265081
2.2,0,322,3.1435960475978
2.2,0,324,3.47481239411832
2.2,0,326,3.9195861724525
2.2,0,328,4.42705017012824
2.2,0,330,4.93659852715854
2.2,0,332,5.39533901313614
2.2,0,334,5.76707795494904
2.2,0,336,6.03467285992452
2.2,0,338,6.19956336341945
2.2,0,340,6.2803770197938
2.2,0,342,6.3099789685095
2.2,0,344,6.32879599250449
2.2,0,346,6.37317688280764
2.2,0,348,6.46189441114124
2.2,0,350,6.58843838350688
2.2,0,352,6.72483229140347
2.2,0,354,6.83437070850428
2.2,0,356,6.88532187472535
2.2,0,358,6.86006305889606
2.2,0,360,6.75899446887662
